                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                  1.356,                0.95403,                 1.6325,                0.76964,                0.65998,                0.73922,                0.64557,                 1.3182,                 1.7214,                 1.6218,             0.00019425,             0.00019425,             0.00019425
                     86,                 1.3747,                0.92583,                 1.6236,                0.71073,                0.64876,                0.69064,                0.59705,                 1.2299,                  1.995,                 1.6141,             0.00019379,             0.00019379,             0.00019379
                     87,                 1.3404,                0.93337,                 1.6104,                0.80013,                0.58286,                0.72805,                0.65103,                  1.212,                 1.8577,                  1.613,             0.00019332,             0.00019332,             0.00019332
                     88,                 1.3311,                0.87497,                 1.6323,                0.68953,                0.70664,                0.73198,                0.64713,                 1.2155,                 1.8259,                 1.6083,             0.00019286,             0.00019286,             0.00019286
                     89,                 1.3784,                0.95487,                 1.6079,                0.74548,                0.66058,                0.73253,                 0.6498,                 1.2003,                 2.0794,                 1.6011,              0.0001924,              0.0001924,              0.0001924
                     90,                 1.3162,                 0.9252,                 1.6116,                0.64519,                0.78172,                0.74298,                0.66299,                 1.1873,                 1.6092,                 1.5982,             0.00019194,             0.00019194,             0.00019194
                     91,                 1.3187,                0.87416,                 1.6325,                0.77779,                0.65045,                0.73562,                0.65513,                   1.21,                  1.719,                 1.6035,             0.00019148,             0.00019148,             0.00019148
                     92,                 1.3363,                 0.9373,                 1.6186,                0.75998,                0.64388,                0.73273,                0.63954,                 1.2651,                 1.5795,                 1.6068,             0.00019102,             0.00019102,             0.00019102
                     93,                 1.3187,                0.88112,                 1.6149,                0.82878,                0.64157,                0.75774,                0.66541,                 1.2535,                 1.7031,                 1.6115,             0.00019056,             0.00019056,             0.00019056
                     94,                 1.3072,                0.87606,                 1.6089,                 0.6984,                0.62876,                0.71976,                0.63051,                  1.237,                 1.8449,                  1.606,              0.0001901,              0.0001901,              0.0001901
                     95,                 1.2823,                0.88786,                 1.5915,                0.70432,                0.65299,                0.69342,                0.59279,                 1.2838,                 1.8832,                 1.6111,             0.00018963,             0.00018963,             0.00018963
                     96,                 1.3249,                0.87133,                 1.6039,                0.77611,                 0.6155,                0.69078,                0.60079,                 1.3165,                 1.9807,                 1.6174,             0.00018917,             0.00018917,             0.00018917
                     97,                  1.345,                0.96879,                 1.6114,                0.65565,                0.77764,                0.77759,                0.68238,                 1.2609,                 1.5943,                 1.6052,             0.00018871,             0.00018871,             0.00018871
                     98,                 1.3211,                0.88945,                 1.5985,                0.66457,                0.75218,                0.71504,                 0.6143,                  1.289,                 1.8091,                 1.6116,             0.00018825,             0.00018825,             0.00018825
                     99,                 1.2856,                0.89885,                 1.5977,                0.72858,                0.73067,                0.73969,                0.64267,                 1.3199,                 1.6895,                 1.6153,             0.00018779,             0.00018779,             0.00018779
                    100,                 1.2598,                0.83637,                  1.606,                0.75529,                0.68712,                0.75086,                  0.655,                 1.2707,                  1.665,                 1.6118,             0.00018733,             0.00018733,             0.00018733
                    101,                 1.3237,                0.85975,                 1.6109,                0.67269,                0.75236,                0.71879,                0.63125,                 1.2599,                 1.7832,                 1.6122,             0.00018687,             0.00018687,             0.00018687
                    102,                 1.3058,                0.92944,                 1.5955,                0.61677,                0.74743,                0.72337,                 0.6381,                 1.2434,                 1.8457,                 1.6101,              0.0001864,              0.0001864,              0.0001864
                    103,                 1.3003,                0.87513,                 1.6118,                0.61431,                0.74004,                 0.6991,                0.62196,                 1.1913,                 1.8703,                 1.6024,             0.00018594,             0.00018594,             0.00018594
                    104,                 1.3211,                 0.9135,                 1.6096,                0.61789,                   0.72,                0.68708,                0.61086,                 1.2051,                 1.9864,                 1.6026,             0.00018548,             0.00018548,             0.00018548
                    105,                 1.3518,                0.94038,                 1.6196,                0.74157,                0.66983,                0.69832,                0.61068,                 1.2268,                 1.8527,                 1.6045,             0.00018502,             0.00018502,             0.00018502
                    106,                 1.2982,                0.86202,                 1.6105,                0.74854,                0.69623,                 0.7423,                0.65489,                 1.2402,                 1.7684,                 1.6075,             0.00018456,             0.00018456,             0.00018456
                    107,                 1.2606,                 0.8235,                 1.6048,                0.67097,                0.68948,                 0.7616,                0.66339,                 1.2739,                 1.8979,                 1.6031,              0.0001841,              0.0001841,              0.0001841
                    108,                 1.2747,                0.82927,                 1.5977,                0.74311,                 0.6682,                0.71161,                0.62028,                 1.2447,                 1.8206,                 1.6014,             0.00018364,             0.00018364,             0.00018364
                    109,                 1.2595,                0.82715,                 1.5992,                0.65169,                0.67048,                0.72051,                0.63822,                 1.2169,                 1.8177,                 1.6005,             0.00018318,             0.00018318,             0.00018318
                    110,                 1.2359,                0.82877,                 1.6042,                0.63727,                0.69922,                0.73667,                0.64657,                 1.2183,                  1.618,                 1.5987,             0.00018271,             0.00018271,             0.00018271
                    111,                 1.2853,                0.81303,                 1.6198,                0.69894,                 0.7485,                0.75769,                0.66496,                 1.2457,                 1.6626,                 1.6077,             0.00018225,             0.00018225,             0.00018225
                    112,                 1.2236,                0.81769,                 1.5995,                0.75994,                0.64368,                0.71882,                0.62639,                 1.2883,                 1.7073,                 1.6026,             0.00018179,             0.00018179,             0.00018179
                    113,                 1.1724,                0.76205,                 1.6035,                0.70298,                0.65366,                0.71797,                0.63456,                 1.2255,                 1.7868,                 1.5944,             0.00018133,             0.00018133,             0.00018133
                    114,                 1.2778,                0.82235,                 1.6236,                0.66431,                0.68684,                0.70871,                0.61847,                 1.2673,                 1.7833,                 1.6069,             0.00018087,             0.00018087,             0.00018087
                    115,                 1.2367,                0.77586,                 1.6146,                 0.6738,                0.70921,                0.73498,                0.65046,                 1.2409,                 1.8298,                 1.6095,             0.00018041,             0.00018041,             0.00018041
                    116,                 1.2931,                0.82512,                 1.6012,                0.64207,                0.71506,                0.68535,                0.59372,                  1.262,                 1.8577,                 1.6088,             0.00017995,             0.00017995,             0.00017995
                    117,                 1.3088,                0.82676,                 1.6129,                0.65294,                0.74951,                0.69856,                0.60454,                 1.2423,                 1.6898,                 1.6091,             0.00017948,             0.00017948,             0.00017948
                    118,                 1.2287,                 0.8093,                 1.6085,                0.69118,                0.68768,                0.69427,                0.60934,                 1.2224,                 1.9427,                 1.6069,             0.00017902,             0.00017902,             0.00017902
                    119,                 1.2374,                0.82881,                 1.6019,                0.74005,                  0.693,                0.70507,                0.61695,                 1.2407,                 1.7313,                 1.6031,             0.00017856,             0.00017856,             0.00017856
                    120,                 1.2036,                0.79395,                 1.5911,                0.73263,                0.66583,                0.70585,                 0.6145,                 1.2423,                 1.5677,                 1.6042,              0.0001781,              0.0001781,              0.0001781
