                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.6572,                 3.2165,                  1.674,                0.49448,                 0.5568,                0.52544,                0.45078,                 1.3435,                 2.5415,                 1.6244,             0.00020255,             0.00020255,             0.00020255
                     68,                 1.7128,                 3.2895,                 1.6615,                0.55381,                0.47851,                0.57828,                0.49301,                 1.4177,                 2.5276,                 1.6292,             0.00020209,             0.00020209,             0.00020209
                     69,                 1.6878,                 3.0448,                 1.6571,                 0.6009,                0.42966,                0.51167,                0.43732,                 1.4326,                 2.6365,                 1.6336,             0.00020163,             0.00020163,             0.00020163
                     70,                 1.6655,                 3.1967,                 1.6633,                0.76788,                0.36799,                0.52176,                0.44225,                 1.4135,                 2.7133,                 1.6292,             0.00020117,             0.00020117,             0.00020117
                     71,                 1.7195,                 3.1774,                 1.6765,                0.59016,                0.44684,                0.47431,                 0.3961,                  1.498,                 2.8148,                 1.6333,             0.00020071,             0.00020071,             0.00020071
                     72,                 1.6612,                 3.1591,                 1.6609,                0.57813,                 0.3975,                0.49578,                0.42282,                 1.4695,                 2.7142,                 1.6363,             0.00020024,             0.00020024,             0.00020024
                     73,                 1.6648,                 3.0987,                 1.6613,                0.65629,                0.44033,                 0.5294,                0.44618,                 1.4877,                  2.708,                 1.6394,             0.00019978,             0.00019978,             0.00019978
                     74,                 1.6871,                 2.9207,                 1.6667,                0.61288,                0.41028,                0.53558,                0.45335,                 1.4288,                 2.8179,                 1.6295,             0.00019932,             0.00019932,             0.00019932
                     75,                 1.6257,                 2.8112,                 1.6796,                0.65561,                0.41043,                0.52937,                0.45303,                 1.4194,                  2.626,                 1.6291,             0.00019886,             0.00019886,             0.00019886
                     76,                 1.6875,                  2.861,                 1.6907,                0.53048,                0.50933,                0.51644,                0.43803,                 1.3994,                 2.5621,                 1.6292,              0.0001984,              0.0001984,              0.0001984
                     77,                 1.5857,                 2.9232,                 1.6632,                0.57797,                0.48301,                0.52302,                0.44075,                 1.3626,                 2.6177,                 1.6237,             0.00019794,             0.00019794,             0.00019794
                     78,                 1.6409,                 2.7649,                 1.6727,                 0.5967,                0.36662,                0.48316,                0.40662,                 1.4285,                 2.6077,                 1.6411,             0.00019748,             0.00019748,             0.00019748
                     79,                 1.6503,                 2.6656,                 1.6444,                0.57634,                  0.419,                0.48545,                0.40076,                 1.4291,                 2.8441,                 1.6272,             0.00019702,             0.00019702,             0.00019702
                     80,                 1.5794,                 2.7206,                 1.6536,                0.65517,                 0.3796,                0.55103,                0.46077,                 1.4001,                 2.5271,                 1.6351,             0.00019655,             0.00019655,             0.00019655
                     81,                 1.6511,                 2.6966,                   1.66,                0.58516,                0.41658,                0.49931,                0.42569,                 1.3594,                 2.7272,                 1.6357,             0.00019609,             0.00019609,             0.00019609
                     82,                 1.6318,                 2.5711,                 1.6474,                0.54129,                0.52991,                0.55527,                0.47199,                 1.3583,                 2.5553,                 1.6223,             0.00019563,             0.00019563,             0.00019563
                     83,                  1.602,                 2.5914,                 1.6549,                 0.4942,                0.52299,                0.49225,                0.41951,                 1.4146,                 2.7959,                 1.6298,             0.00019517,             0.00019517,             0.00019517
                     84,                 1.5826,                 2.6162,                  1.656,                0.55784,                0.46979,                0.55579,                0.47352,                  1.373,                 2.6835,                  1.624,             0.00019471,             0.00019471,             0.00019471
                     85,                 1.6505,                 2.6329,                 1.6679,                0.54156,                0.46535,                0.55338,                0.47411,                 1.3972,                 2.5849,                 1.6278,             0.00019425,             0.00019425,             0.00019425
                     86,                 1.6804,                 2.5351,                  1.656,                 0.5171,                0.45161,                0.53474,                0.44134,                 1.4453,                 2.5285,                 1.6343,             0.00019379,             0.00019379,             0.00019379
                     87,                 1.5699,                 2.4751,                 1.6415,                0.54018,                0.47862,                0.56457,                0.48486,                 1.3309,                 2.3857,                 1.6248,             0.00019332,             0.00019332,             0.00019332
                     88,                 1.5891,                 2.3993,                 1.6685,                0.63669,                 0.4588,                 0.5797,                0.49308,                 1.3594,                 2.4883,                 1.6264,             0.00019286,             0.00019286,             0.00019286
                     89,                 1.6258,                 2.4185,                 1.6466,                0.59103,                0.46475,                0.51067,                0.43702,                 1.3314,                 2.7209,                 1.6259,              0.0001924,              0.0001924,              0.0001924
                     90,                 1.5751,                 2.3326,                 1.6451,                0.71182,                0.48293,                0.56358,                0.48098,                 1.3103,                 2.5413,                 1.6197,             0.00019194,             0.00019194,             0.00019194
                     91,                  1.599,                 2.4184,                 1.6647,                0.68669,                0.47909,                0.58195,                0.49509,                 1.3449,                 2.6199,                 1.6247,             0.00019148,             0.00019148,             0.00019148
                     92,                 1.5838,                 2.4164,                  1.648,                0.53718,                0.54344,                0.54523,                0.47035,                 1.3673,                 2.6636,                 1.6291,             0.00019102,             0.00019102,             0.00019102
                     93,                  1.602,                 2.3371,                 1.6572,                0.71113,                 0.4832,                0.57452,                 0.4896,                 1.3954,                 2.5775,                 1.6379,             0.00019056,             0.00019056,             0.00019056
                     94,                 1.6286,                 2.3296,                 1.6522,                0.64769,                0.43539,                0.56611,                0.47938,                 1.3977,                 2.5692,                  1.634,              0.0001901,              0.0001901,              0.0001901
                     95,                 1.5582,                 2.2803,                 1.6272,                0.60417,                0.43445,                0.54547,                0.45866,                 1.3917,                 2.5286,                 1.6288,             0.00018963,             0.00018963,             0.00018963
                     96,                 1.5639,                 2.3007,                 1.6276,                0.59175,                0.44213,                0.50978,                0.42271,                 1.4431,                 2.7266,                 1.6411,             0.00018917,             0.00018917,             0.00018917
                     97,                 1.6319,                 2.3136,                 1.6432,                0.57044,                0.47352,                0.59029,                0.50375,                 1.3675,                 2.3596,                 1.6264,             0.00018871,             0.00018871,             0.00018871
                     98,                 1.5643,                 2.2006,                 1.6335,                0.57604,                0.46657,                0.50504,                0.43107,                 1.3881,                 2.6601,                 1.6287,             0.00018825,             0.00018825,             0.00018825
