                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.4343,                  1.149,                 1.6172,                0.65182,                0.71661,                0.73796,                0.64277,                 1.2299,                 1.7045,                 1.6058,             0.00020578,             0.00020578,             0.00020578
                     61,                 1.3869,                 1.0479,                 1.6103,                0.64616,                0.73541,                0.74478,                0.65504,                 1.2384,                 1.4392,                 1.6128,             0.00020532,             0.00020532,             0.00020532
                     62,                 1.3413,                 1.1074,                 1.6126,                0.77929,                0.70364,                0.77935,                0.68766,                 1.2403,                 1.3347,                 1.6113,             0.00020486,             0.00020486,             0.00020486
                     63,                 1.3844,                 1.0886,                 1.6378,                0.65015,                0.72972,                0.75298,                0.65896,                  1.228,                 1.5231,                 1.6098,              0.0002044,              0.0002044,              0.0002044
                     64,                 1.3697,                 1.0433,                 1.6152,                0.76331,                0.73135,                0.77059,                0.67103,                   1.28,                 1.5129,                 1.6212,             0.00020394,             0.00020394,             0.00020394
                     65,                 1.4241,                 1.1109,                 1.6429,                0.69261,                0.73001,                0.73772,                0.63587,                 1.2959,                 1.5696,                 1.6181,             0.00020347,             0.00020347,             0.00020347
                     66,                 1.3357,                 1.1029,                 1.6202,                0.66043,                0.71192,                 0.7359,                0.64011,                 1.2498,                 1.5674,                 1.6099,             0.00020301,             0.00020301,             0.00020301
                     67,                 1.3063,                 1.0465,                 1.6287,                0.75613,                0.64286,                0.74855,                0.65898,                 1.2326,                 1.5805,                 1.6067,             0.00020255,             0.00020255,             0.00020255
                     68,                 1.3331,                  1.083,                 1.6167,                0.76374,                0.67142,                0.79636,                0.70409,                 1.2087,                 1.3878,                 1.6034,             0.00020209,             0.00020209,             0.00020209
                     69,                 1.3675,                 1.0687,                   1.62,                0.68031,                0.72202,                0.77205,                0.67889,                 1.2526,                 1.4472,                 1.6161,             0.00020163,             0.00020163,             0.00020163
                     70,                 1.3665,                 1.0567,                 1.6208,                0.68732,                0.71339,                  0.758,                0.65567,                 1.2913,                 1.4556,                 1.6189,             0.00020117,             0.00020117,             0.00020117
                     71,                 1.4023,                 1.1585,                 1.6367,                0.75971,                0.62803,                0.71236,                0.60007,                 1.3665,                 1.6394,                 1.6273,             0.00020071,             0.00020071,             0.00020071
                     72,                 1.3761,                 1.0827,                 1.6275,                0.71101,                0.73595,                0.73251,                0.62861,                 1.3445,                 1.5228,                 1.6288,             0.00020024,             0.00020024,             0.00020024
                     73,                 1.3375,                0.98087,                 1.6233,                0.75125,                 0.7386,                0.74333,                0.64184,                 1.2879,                 1.4865,                 1.6189,             0.00019978,             0.00019978,             0.00019978
                     74,                 1.3498,                0.95462,                 1.6252,                 0.8482,                0.60327,                0.77958,                0.67721,                  1.258,                 1.4993,                 1.6242,             0.00019932,             0.00019932,             0.00019932
                     75,                 1.2977,                0.95799,                 1.6377,                 0.7183,                0.72451,                0.76806,                 0.6638,                 1.3131,                 1.5691,                 1.6334,             0.00019886,             0.00019886,             0.00019886
